Time;IBI;HR;LVET;HRS;Sys;Dia;MAP;SV;CO;SVR;SVI;CI;SVRI;dP/dt;COCalibr
20.540000;1,125;53;0,340;21;118;81;93;69;3,7;2025;35;1,8;4035;641;-1,000
21.665000;1,115;54;0,335;21;116;80;94;72;3,9;1925;36;1,9;3835;611;-1,000
22.780000;1,115;54;0,360;21;123;81;97;73;3,9;1963;37;2,0;3910;598;-1,000
23.895000;1,150;52;0,350;21;121;81;95;74;3,9;1960;37;1,9;3905;572;-1,000
25.045000;1,150;52;0,355;21;118;79;93;76;3,9;1880;38;2,0;3745;545;-1,000
26.195000;1,080;56;0,330;21;113;78;92;69;3,8;1908;35;1,9;3800;491;-1,000
27.275000;1,060;57;0,345;21;113;80;92;69;3,9;1870;35;2,0;3725;438;-1,000
28.335000;1,005;60;0,340;20;109;78;91;69;4,1;1760;35;2,0;3505;416;-1,000
29.340000;1,015;59;0,345;20;107;78;89;66;3,9;1818;33;2,0;3620;389;-1,000
30.355000;0,980;61;0,345;20;106;76;89;66;3,9;1818;33;2,0;3620;389;-1,000
31.335000;1,015;59;0,345;20;106;76;89;66;3,9;1818;33;2,0;3620;389;-1,000
32.350000;1,010;59;0,345;20;106;76;89;66;3,9;1818;33;2,0;3620;389;-1,000
33.360000;0,980;61;0,345;20;106;76;89;66;3,9;1818;33;2,0;3620;389;-1,000
34.340000;0,900;67;0,345;20;106;76;89;66;3,9;1818;33;2,0;3620;389;-1,000
35.240000;1,145;52;0,345;21;106;76;89;66;3,9;1818;33;2,0;3620;389;-1,000
36.385000;1,235;49;0,345;21;106;76;89;66;3,9;1818;33;2,0;3620;389;-1,000
37.620000;1,110;54;0,345;20;103;69;84;79;4,3;1575;39;2,1;3135;438;-1,000
38.730000;1,095;55;0,335;21;105;71;86;75;4,1;1680;37;2,0;3345;433;-1,000
39.825000;1,080;56;0,340;21;109;74;87;74;4,1;1690;37;2,0;3370;470;-1,000
40.905000;1,080;56;0,345;21;108;73;82;79;4,3;1510;39;2,2;3005;469;-1,000
41.985000;1,035;58;0,335;21;95;67;78;69;4,0;1578;34;2,0;3145;356;-1,000
43.020000;1,035;58;0,340;21;95;70;80;62;3,6;1773;31;1,8;3535;345;-1,000
44.055000;1,105;54;0,350;21;94;69;79;66;3,6;1768;33;1,8;3525;339;-1,000
